Период;Компания;Тип услуги;Сумма;Оплачено;Примечание
2026-08;ООО "Газпром межрегионгаз Ярославль" ;Газ;1.0;true;тест
2026-07;АО "Управдом Дзержинского района" ;ЖКУ;2162.54;true;Оплачено в августе 2026 года
2026-07;АО "Управдом Дзержинского района" ;Вода;931.7;true;Оплачено в августе 2026 года
2026-07;АО "ЭР-Телеком-холдинг" ;Телевидение;490.0;true;Оплачено в августе 2026 года
2026-07;АО "Ярославль лифт" ;Лифт;437.28;true;Оплачено в августе 2026 года
2026-07;НКО "Региональный фонд содействия капитальному ремонту МКД ЯО" ;Капитальный ремонт;874.54;true;Оплачено в августе 2026 года
2026-07;ООО "Газпром межрегионгаз Ярославль" ;Газ;411.77;true;Оплачено в августе 2026 года
2026-07;ООО"Хартия" ;Мусор;529.59;true;Оплачено в августе 2026 года
2026-07;ПАО "ВымпелКом" ;Мобильная связь;2410.0;true;Оплачено в августе 2026 года
2026-07;ПАО "ТНС энерго Ярославль" ;Электричество;1415.0;true;Оплачено в августе 2026 года
2026-06;АО "Управдом Дзержинского района" ;ЖКУ;1998.41;true;Оплачено в июле 2026 года
2026-06;АО "Управдом Дзержинского района" ;Вода;884.44;true;Оплачено в июле 2026 года
2026-06;АО "ЭР-Телеком-холдинг" ;Телевидение;490.0;true;Оплачено в июле 2026 года
2026-06;АО "Ярославль лифт" ;Лифт;437.28;true;Оплачено в июле 2026 года
2026-06;НКО "Региональный фонд содействия капитальному ремонту МКД ЯО" ;Капитальный ремонт;874.54;true;Оплачено в июле 2026 года
2026-06;ООО "Газпром межрегионгаз Ярославль" ;Газ;411.77;true;Оплачено в июле 2026 года
2026-06;ООО"Хартия" ;Мусор;529.59;true;Оплачено в июле 2026 года
2026-06;ПАО "ВымпелКом" ;Мобильная связь;2840.0;true;Оплачено в июле 2026 года
2026-06;ПАО "ТНС энерго Ярославль" ;Электричество;1448.96;true;Оплачено в июле 2026 года
2026-05;АО "Управдом Дзержинского района" ;ЖКУ;1998.41;true;Оплачено в июне 2026 года
2026-05;АО "Управдом Дзержинского района" ;Вода;1018.68;true;Оплачено в июне 2026 года
2026-05;АО "ЭР-Телеком-холдинг" ;Телевидение;490.0;true;Оплачено в июне 2026 года
2026-05;АО "Ярославль лифт" ;Лифт;437.28;true;Оплачено в июне 2026 года
2026-05;НКО "Региональный фонд содействия капитальному ремонту МКД ЯО" ;Капитальный ремонт;874.54;true;Оплачено в июне 2026 года
2026-05;ООО "Газпром межрегионгаз Ярославль" ;Газ;411.77;true;Оплачено в июне 2026 года
2026-05;ООО"Хартия" ;Мусор;529.59;true;Оплачено в июне 2026 года
2026-05;ПАО "ВымпелКом" ;Мобильная связь;3375.0;true;Оплачено в июне 2026 года
2026-05;ПАО "ТНС энерго Ярославль" ;Электричество;1216.9;true;Оплачено в июне 2026 года
2026-04;АО "Управдом Дзержинского района" ;ЖКУ;2162.54;true;Оплачено в мае 2026 года
2026-04;АО "Управдом Дзержинского района" ;Вода;1278.7;true;Оплачено в мае 2026 года
2026-04;АО "ЭР-Телеком-холдинг" ;Телевидение;490.0;true;Оплачено в мае 2026 года
2026-04;АО "Ярославль лифт" ;Лифт;437.28;true;Оплачено в мае 2026 года
2026-04;НКО "Региональный фонд содействия капитальному ремонту МКД ЯО" ;Капитальный ремонт;874.54;true;Оплачено в мае 2026 года
2026-04;ООО "Газпром межрегионгаз Ярославль" ;Газ;411.77;true;Оплачено в мае 2026 года
2026-04;ООО"Хартия" ;Мусор;529.59;true;Оплачено в мае 2026 года
2026-04;ПАО "ВымпелКом" ;Мобильная связь;2835.0;true;Оплачено в мае 2026 года
2026-04;ПАО "ТНС энерго Ярославль" ;Электричество;1205.58;true;Оплачено в мае 2026 года
2026-03;АО "Управдом Дзержинского района" ;ЖКУ;2162.54;true;Оплачено в апреле 2026 года
2026-03;АО "Управдом Дзержинского района" ;Вода;1061.94;true;Оплачено в апреле 2026 года
2026-03;АО "ЭР-Телеком-холдинг" ;Телевидение;490.0;true;Оплачено в апреле 2026 года
2026-03;АО "Ярославль лифт" ;Лифт;437.28;true;Оплачено в апреле 2026 года
2026-03;НКО "Региональный фонд содействия капитальному ремонту МКД ЯО" ;Капитальный ремонт;874.54;true;Оплачено в апреле 2026 года
2026-03;ООО "Газпром межрегионгаз Ярославль" ;Газ;411.77;true;Оплачено в апреле 2026 года
2026-03;ООО"Хартия" ;Мусор;529.59;true;Оплачено в апреле 2026 года
2026-03;ПАО "ВымпелКом" ;Мобильная связь;2465.0;true;Оплачено в апреле 2026 года
2026-03;ПАО "ТНС энерго Ярославль" ;Электричество;1482.92;true;Оплачено в апреле 2026 года
2026-02;АО "Управдом Дзержинского района" ;ЖКУ;2162.54;true;Оплачено в марте 2026 года
2026-02;АО "Управдом Дзержинского района" ;Вода;1137.76;true;Оплачено в марте 2026 года
2026-02;АО "ЭР-Телеком-холдинг" ;Телевидение;490.0;true;Оплачено в марте 2026 года
2026-02;АО "Ярославль лифт" ;Лифт;437.28;true;Оплачено в марте 2026 года
2026-02;НКО "Региональный фонд содействия капитальному ремонту МКД ЯО" ;Капитальный ремонт;874.54;true;Оплачено в марте 2026 года
2026-02;ООО "Газпром межрегионгаз Ярославль" ;Газ;411.77;true;Оплачено в марте 2026 года
2026-02;ООО"Хартия" ;Мусор;529.59;true;Оплачено в марте 2026 года
2026-02;ПАО "ВымпелКом" ;Мобильная связь;3155.0;true;Оплачено в марте 2026 года
2026-02;ПАО "ТГК-2" ;Отопление;8753.5;true;Оплачено в марте 2026 года
2026-02;ПАО "ТНС энерго Ярославль" ;Электричество;1205.58;true;Оплачено в марте 2026 года
2026-01;АО "Управдом Дзержинского района" ;ЖКУ;2162.54;true;Оплачено в 2026 году
2026-01;АО "Управдом Дзержинского района" ;Вода;693.54;true;Оплачено в 2026 году
2026-01;АО "ЭР-Телеком-холдинг" ;Телевидение;490.0;true;Оплачено в феврале 2026 году
2026-01;АО "Ярославль лифт" ;Лифт;437.28;true;Оплачено в феврале 2026 года
2026-01;НКО "Региональный фонд содействия капитальному ремонту МКД ЯО" ;Капитальный ремонт;874.54;true;Оплачено в 2026 году
2026-01;ООО "Газпром межрегионгаз Ярославль" ;Газ;6.75;true;Оплачено в феврале 2026 года
2026-01;ООО "Строймастер-Домофоны" ;Домофон;756.0;true;Оплачено в феврале 2026 года
2026-01;ООО"Хартия" ;Мусор;529.59;true;Оплачено в феврале 2026 года
2026-01;ПАО "ВымпелКом" ;Мобильная связь;3735.0;true;Оплачено в феврале 2026 года
2026-01;ПАО "ТГК-2" ;Отопление;8150.53;true;Оплачено в феврале 2026 года
2026-01;ПАО "ТНС энерго Ярославль" ;Электричество;1392.36;true;Оплачено в феврале 2026 года
2025-12;АО "Управдом Дзержинского района" ;ЖКУ;1759.79;true;Оплачено в январе 2026 года
2025-12;АО "Управдом Дзержинского района" ;Вода;1151.2;true;Оплачено в январе 2026 года
2025-12;АО "ЭР-Телеком-холдинг" ;Телевидение;440.0;true;Оплачено в январе 2026 года
2025-12;АО "Ярославль лифт" ;Лифт;398.34;true;Оплачено в январе 2026
